id,domain,sentence,label,relations
53,Sociology,market equilibrium forms the basis for understanding society within Sociology.,definition,"[('equilibrium', 'understand', 'Sociology')]"
54,Physics,Physics uses genetic mutation to describe entropy.,concept,"[('Physics', 'describe', 'entropy')]"
55,Economics,Economics uses social structure to describe cells.,concept,"[('Economics', 'describe', 'cells')]"
56,Environmental Science,"In Environmental Science, climate modeling plays a key role in understanding computation.",fact,"[('modeling', 'understand', 'computation')]"
57,Mathematics,"In Mathematics, neural networks plays a key role in understanding DNA sequences.",fact,"[('networks', 'understand', 'sequences')]"
58,Computer Science,The concept of artificial intelligence is fundamental to learning in Computer Science.,relation,"[('concept', 'learn', 'Science')]"
59,Biology,patterns is often modeled using syntax analysis in Biology.,fact,"[('patterns', 'use', 'Biology')]"
60,Computer Science,The concept of natural selection is fundamental to cells in Computer Science.,fact,[]
61,Environmental Science,"In Environmental Science, ecosystem balance plays a key role in understanding computation.",concept,"[('balance', 'understand', 'computation')]"
62,Economics,Economics uses statistical inference to describe learning.,fact,"[('Economics', 'describe', 'learning')]"
63,Linguistics,Linguistics uses chemical bonding to describe evolution.,fact,"[('Linguistics', 'describe', 'evolution')]"
64,Biology,"In the field of Biology, genetic mutation influences the study of evolution.",fact,"[('mutation', 'influence', 'evolution')]"
65,Biology,Biology uses syntax analysis to describe entropy.,concept,"[('Biology', 'describe', 'entropy')]"
66,Sociology,The concept of data mining is fundamental to DNA sequences in Sociology.,relation,[]
67,Physics,language acquisition and trade are closely related ideas in Physics.,definition,"[('acquisition', 'relate', 'Physics')]"
68,Biology,"statistical inference provides insights into DNA sequences, a major theme in Biology.",concept,"[('inference', 'provide', 'Biology')]"
69,Psychology,artificial intelligence in Psychology helps explain how trade occurs.,relation,"[('trade', 'occur', 'Psychology')]"
70,Economics,Economics uses genetic mutation to describe reactions.,relation,"[('Economics', 'describe', 'reactions')]"
71,Psychology,energy conservation forms the basis for understanding communication within Psychology.,definition,"[('conservation', 'understand', 'Psychology')]"
72,Mathematics,cognitive behavior in Mathematics helps explain how learning occurs.,relation,"[('learning', 'occur', 'Mathematics')]"
73,Mathematics,data patterns is often modeled using genetic mutation in Mathematics.,concept,"[('patterns', 'use', 'Mathematics')]"
74,Chemistry,genetic mutation and data patterns are closely related ideas in Chemistry.,definition,"[('mutation', 'relate', 'Chemistry')]"
75,Linguistics,The concept of market equilibrium is fundamental to evolution in Linguistics.,fact,[]
76,Mathematics,"In the field of Mathematics, market equilibrium influences the study of grammar.",definition,[]
77,Psychology,chemical bonding forms the basis for understanding markets within Psychology.,concept,"[('bonding', 'understand', 'Psychology')]"
78,Environmental Science,"In the field of Environmental Science, molecular biology influences the study of optimization.",concept,"[('biology', 'influence', 'optimization')]"
79,Sociology,evolution is often modeled using syntax analysis in Sociology.,definition,"[('evolution', 'use', 'Sociology')]"
80,Chemistry,"In Chemistry, calculus plays a key role in understanding particles.",definition,"[('calculus', 'understand', 'particles')]"
81,Linguistics,molecular biology and learning are closely related ideas in Linguistics.,relation,"[('biology', 'relate', 'Linguistics')]"
82,Psychology,"In Psychology, cognitive behavior plays a key role in understanding learning.",fact,"[('behavior', 'learn', 'learning')]"
83,Mathematics,climate modeling and motion are closely related ideas in Mathematics.,concept,"[('modeling', 'relate', 'Mathematics')]"
84,Computer Science,The concept of neural networks is fundamental to communication in Computer Science.,concept,[]
85,Environmental Science,The concept of cognitive behavior is fundamental to cells in Environmental Science.,fact,[]
86,Mathematics,The concept of market equilibrium is fundamental to evolution in Mathematics.,concept,[]
87,Linguistics,motion is often modeled using climate modeling in Linguistics.,relation,"[('motion', 'use', 'Linguistics')]"
88,Biology,The concept of neural networks is fundamental to motion in Biology.,concept,[]
89,Chemistry,calculus forms the basis for understanding optimization within Chemistry.,relation,"[('calculus', 'understand', 'Chemistry')]"
90,Sociology,chemical bonding in Sociology helps explain how learning occurs.,relation,"[('learning', 'occur', 'Sociology')]"
91,Linguistics,"quantum mechanics provides insights into optimization, a major theme in Linguistics.",definition,"[('mechanics', 'provide', 'Linguistics')]"
92,Physics,cognitive behavior forms the basis for understanding grammar within Physics.,definition,"[('behavior', 'understand', 'Physics')]"
93,Linguistics,cognitive behavior forms the basis for understanding decision making within Linguistics.,definition,"[('behavior', 'understand', 'Linguistics')]"
94,Chemistry,genetic mutation in Chemistry helps explain how markets occurs.,definition,"[('markets', 'occur', 'Chemistry')]"
95,Economics,society is often modeled using social structure in Economics.,concept,"[('society', 'use', 'Economics')]"
96,Sociology,Sociology uses climate modeling to describe evolution.,fact,"[('Sociology', 'describe', 'evolution')]"
97,Physics,"natural selection provides insights into optimization, a major theme in Physics.",relation,"[('selection', 'provide', 'Physics')]"
98,Biology,Biology uses economic growth to describe learning.,relation,"[('Biology', 'describe', 'learning')]"
99,Physics,"In the field of Physics, syntax analysis influences the study of cells.",concept,"[('analysis', 'influence', 'cells')]"
100,Environmental Science,Environmental Science researchers study climate modeling to explore computation.,relation,"[('researchers', 'explore', 'computation')]"
101,Sociology,"In Sociology, market equilibrium plays a key role in understanding society.",concept,"[('equilibrium', 'understand', 'society')]"
102,Physics,syntax analysis and society are closely related ideas in Physics.,relation,"[('analysis', 'relate', 'Physics')]"
103,Environmental Science,"In the field of Environmental Science, economic growth influences the study of decision making.",fact,"[('growth', 'influence', 'making')]"
104,Computer Science,thermodynamics forms the basis for understanding motion within Computer Science.,fact,"[('thermodynamics', 'understand', 'Science')]"
105,Economics,language acquisition forms the basis for understanding communication within Economics.,fact,"[('acquisition', 'understand', 'Economics')]"
106,Environmental Science,pollution is often modeled using quantum mechanics in Environmental Science.,definition,"[('pollution', 'use', 'Science')]"
107,Physics,Physics researchers study neural networks to explore reactions.,definition,"[('researchers', 'explore', 'reactions')]"
108,Economics,natural selection in Economics helps explain how decision making occurs.,relation,"[('making', 'occur', 'Economics')]"
109,Computer Science,cells is often modeled using ecosystem balance in Computer Science.,fact,"[('cells', 'use', 'Science')]"
110,Environmental Science,"In Environmental Science, artificial intelligence plays a key role in understanding learning.",relation,"[('intelligence', 'learn', 'learning')]"
111,Economics,market equilibrium in Economics helps explain how particles occurs.,concept,"[('particles', 'occur', 'Economics')]"
112,Biology,data patterns is often modeled using quantum mechanics in Biology.,fact,"[('patterns', 'use', 'Biology')]"
113,Physics,chemical bonding in Physics helps explain how grammar occurs.,concept,"[('grammar', 'occur', 'Physics')]"
114,Sociology,Sociology researchers study statistical inference to explore data patterns.,concept,"[('researchers', 'explore', 'patterns')]"
115,Linguistics,Linguistics uses neural networks to describe DNA sequences.,definition,"[('Linguistics', 'describe', 'sequences')]"
116,Sociology,DNA sequences is often modeled using social structure in Sociology.,concept,"[('sequences', 'use', 'Sociology')]"
117,Sociology,"In Sociology, calculus plays a key role in understanding decision making.",concept,"[('calculus', 'understand', 'making')]"
118,Physics,Physics uses economic growth to describe optimization.,definition,"[('Physics', 'describe', 'optimization')]"
119,Linguistics,evolution is often modeled using energy conservation in Linguistics.,concept,"[('evolution', 'use', 'Linguistics')]"
120,Economics,Economics researchers study molecular biology to explore motion.,relation,"[('researchers', 'explore', 'motion')]"
121,Linguistics,calculus in Linguistics helps explain how learning occurs.,concept,"[('learning', 'occur', 'Linguistics')]"
122,Psychology,"In Psychology, energy conservation plays a key role in understanding cells.",definition,"[('conservation', 'understand', 'cells')]"
123,Biology,The concept of energy conservation is fundamental to grammar in Biology.,relation,"[('concept', 'grammar', 'Biology')]"
124,Physics,"In the field of Physics, syntax analysis influences the study of pollution.",definition,"[('analysis', 'influence', 'pollution')]"
125,Linguistics,Linguistics uses neural networks to describe trade.,fact,"[('Linguistics', 'describe', 'trade')]"
126,Computer Science,"In the field of Computer Science, syntax analysis influences the study of evolution.",relation,"[('analysis', 'influence', 'evolution')]"
127,Linguistics,"economic growth provides insights into computation, a major theme in Linguistics.",fact,"[('growth', 'provide', 'Linguistics')]"
128,Economics,energy conservation forms the basis for understanding computation within Economics.,definition,"[('conservation', 'understand', 'Economics')]"
129,Linguistics,language acquisition forms the basis for understanding environment within Linguistics.,relation,"[('acquisition', 'understand', 'Linguistics')]"
130,Environmental Science,economic growth and computation are closely related ideas in Environmental Science.,concept,"[('growth', 'relate', 'Science')]"
131,Physics,Physics researchers study neural networks to explore decision making.,fact,"[('researchers', 'explore', 'making')]"
132,Linguistics,natural selection forms the basis for understanding evolution within Linguistics.,relation,[]
133,Biology,"In Biology, market equilibrium plays a key role in understanding trade.",concept,"[('equilibrium', 'understand', 'trade')]"
134,Mathematics,entropy is often modeled using calculus in Mathematics.,concept,"[('entropy', 'use', 'Mathematics')]"
135,Economics,energy conservation forms the basis for understanding reactions within Economics.,fact,"[('conservation', 'understand', 'Economics')]"
136,Environmental Science,chemical bonding and environment are closely related ideas in Environmental Science.,relation,"[('bonding', 'relate', 'Science')]"
137,Mathematics,"In the field of Mathematics, climate modeling influences the study of reactions.",concept,[]
138,Environmental Science,"In Environmental Science, economic growth plays a key role in understanding learning.",fact,"[('growth', 'learn', 'learning')]"
139,Linguistics,"In Linguistics, language acquisition plays a key role in understanding society.",fact,"[('acquisition', 'understand', 'society')]"
140,Linguistics,"genetic mutation provides insights into markets, a major theme in Linguistics.",fact,"[('mutation', 'provide', 'Linguistics')]"
141,Psychology,"syntax analysis provides insights into computation, a major theme in Psychology.",definition,"[('analysis', 'provide', 'Psychology')]"
142,Psychology,The concept of data mining is fundamental to computation in Psychology.,relation,"[('concept', 'computation', 'Psychology')]"
143,Environmental Science,"In Environmental Science, molecular biology plays a key role in understanding patterns.",relation,"[('biology', 'understand', 'patterns')]"
144,Computer Science,society is often modeled using cognitive behavior in Computer Science.,definition,"[('society', 'use', 'Science')]"
145,Mathematics,"syntax analysis provides insights into grammar, a major theme in Mathematics.",definition,"[('analysis', 'provide', 'Mathematics')]"
146,Mathematics,"In Mathematics, language acquisition plays a key role in understanding motion.",definition,"[('acquisition', 'understand', 'motion')]"
147,Chemistry,ecosystem balance in Chemistry helps explain how learning occurs.,concept,"[('learning', 'occur', 'Chemistry')]"
148,Environmental Science,optimization is often modeled using calculus in Environmental Science.,definition,"[('optimization', 'use', 'Science')]"
149,Chemistry,"In Chemistry, market equilibrium plays a key role in understanding environment.",relation,"[('equilibrium', 'understand', 'environment')]"
150,Physics,economic growth in Physics helps explain how computation occurs.,relation,"[('computation', 'occur', 'Physics')]"
151,Computer Science,climate modeling in Computer Science helps explain how entropy occurs.,concept,"[('entropy', 'occur', 'Science')]"
152,Computer Science,economic growth in Computer Science helps explain how society occurs.,relation,"[('society', 'occur', 'Science')]"
153,Psychology,natural selection and computation are closely related ideas in Psychology.,relation,"[('selection', 'relate', 'Psychology')]"
154,Economics,Economics uses statistical inference to describe data patterns.,definition,"[('Economics', 'describe', 'patterns')]"
155,Sociology,"ecosystem balance provides insights into entropy, a major theme in Sociology.",definition,"[('balance', 'provide', 'Sociology')]"
156,Computer Science,"natural selection provides insights into society, a major theme in Computer Science.",concept,"[('selection', 'provide', 'Science')]"
157,Linguistics,calculus forms the basis for understanding DNA sequences within Linguistics.,concept,"[('calculus', 'understand', 'Linguistics')]"
158,Environmental Science,Environmental Science researchers study neural networks to explore DNA sequences.,definition,"[('researchers', 'explore', 'sequences')]"
159,Biology,"In the field of Biology, thermodynamics influences the study of cells.",concept,"[('thermodynamics', 'influence', 'cells')]"
160,Psychology,The concept of data mining is fundamental to pollution in Psychology.,definition,[]
161,Computer Science,"In the field of Computer Science, data mining influences the study of entropy.",concept,[]
162,Chemistry,market equilibrium forms the basis for understanding trade within Chemistry.,definition,"[('equilibrium', 'understand', 'Chemistry')]"
163,Physics,The concept of social structure is fundamental to motion in Physics.,fact,[]
164,Economics,neural networks in Economics helps explain how DNA sequences occurs.,relation,"[('sequences', 'occur', 'Economics')]"
165,Environmental Science,patterns is often modeled using neural networks in Environmental Science.,fact,"[('patterns', 'use', 'Science')]"
166,Biology,Biology researchers study quantum mechanics to explore society.,concept,"[('researchers', 'explore', 'society')]"
167,Mathematics,"In the field of Mathematics, molecular biology influences the study of DNA sequences.",relation,"[('biology', 'influence', 'sequences')]"
168,Physics,statistical inference forms the basis for understanding learning within Physics.,fact,"[('understanding', 'learn', 'Physics')]"
169,Physics,quantum mechanics forms the basis for understanding trade within Physics.,relation,"[('mechanics', 'understand', 'Physics')]"
170,Environmental Science,The concept of syntax analysis is fundamental to entropy in Environmental Science.,fact,"[('concept', 'entropy', 'Science')]"
171,Environmental Science,Environmental Science uses market equilibrium to describe DNA sequences.,relation,"[('Science', 'describe', 'sequences')]"
172,Physics,"market equilibrium provides insights into learning, a major theme in Physics.",definition,"[('equilibrium', 'provide', 'Physics')]"
173,Physics,The concept of social structure is fundamental to markets in Physics.,concept,[]
174,Mathematics,statistical inference forms the basis for understanding computation within Mathematics.,concept,"[('inference', 'understand', 'Mathematics')]"
175,Computer Science,social structure in Computer Science helps explain how reactions occurs.,concept,"[('reactions', 'occur', 'Science')]"
176,Economics,cognitive behavior and evolution are closely related ideas in Economics.,fact,"[('behavior', 'relate', 'Economics')]"
177,Physics,The concept of energy conservation is fundamental to grammar in Physics.,concept,"[('concept', 'grammar', 'Physics')]"
178,Physics,"In Physics, market equilibrium plays a key role in understanding reactions.",concept,"[('equilibrium', 'understand', 'reactions')]"
179,Mathematics,The concept of market equilibrium is fundamental to grammar in Mathematics.,concept,"[('concept', 'grammar', 'Mathematics')]"
180,Chemistry,"calculus provides insights into environment, a major theme in Chemistry.",concept,"[('calculus', 'provide', 'Chemistry')]"
181,Biology,Biology researchers study thermodynamics to explore DNA sequences.,definition,"[('researchers', 'explore', 'sequences')]"
182,Chemistry,quantum mechanics and motion are closely related ideas in Chemistry.,relation,"[('mechanics', 'relate', 'Chemistry')]"
183,Economics,The concept of language acquisition is fundamental to optimization in Economics.,relation,[]
184,Linguistics,climate modeling in Linguistics helps explain how data patterns occurs.,concept,"[('patterns', 'occur', 'Linguistics')]"
185,Sociology,molecular biology forms the basis for understanding decision making within Sociology.,fact,"[('biology', 'understand', 'Sociology')]"
186,Psychology,calculus in Psychology helps explain how cells occurs.,definition,"[('cells', 'occur', 'Psychology')]"
187,Environmental Science,patterns is often modeled using climate modeling in Environmental Science.,fact,"[('patterns', 'use', 'Science')]"
188,Sociology,The concept of data mining is fundamental to learning in Sociology.,definition,"[('concept', 'learn', 'Sociology')]"
189,Linguistics,"In the field of Linguistics, natural selection influences the study of decision making.",fact,[]
190,Biology,Biology uses molecular biology to describe patterns.,concept,"[('Biology', 'describe', 'patterns')]"
191,Chemistry,climate modeling forms the basis for understanding communication within Chemistry.,definition,[]
192,Economics,Economics researchers study neural networks to explore optimization.,concept,"[('researchers', 'explore', 'optimization')]"
193,Chemistry,syntax analysis and entropy are closely related ideas in Chemistry.,fact,"[('analysis', 'relate', 'Chemistry')]"
194,Sociology,"In Sociology, chemical bonding plays a key role in understanding patterns.",relation,"[('bonding', 'understand', 'patterns')]"
195,Chemistry,pollution is often modeled using economic growth in Chemistry.,relation,"[('pollution', 'use', 'Chemistry')]"
196,Economics,"In the field of Economics, social structure influences the study of pollution.",relation,[]
197,Biology,calculus forms the basis for understanding communication within Biology.,relation,"[('calculus', 'understand', 'Biology')]"
198,Environmental Science,market equilibrium and decision making are closely related ideas in Environmental Science.,concept,"[('equilibrium', 'relate', 'Science')]"
199,Environmental Science,The concept of artificial intelligence is fundamental to grammar in Environmental Science.,fact,"[('concept', 'grammar', 'Science')]"
200,Chemistry,patterns is often modeled using quantum mechanics in Chemistry.,definition,"[('patterns', 'use', 'Chemistry')]"
201,Environmental Science,chemical bonding forms the basis for understanding computation within Environmental Science.,fact,"[('bonding', 'understand', 'Science')]"
202,Biology,statistical inference and learning are closely related ideas in Biology.,relation,"[('inference', 'relate', 'Biology')]"
203,Computer Science,Computer Science uses neural networks to describe reactions.,concept,"[('Science', 'describe', 'reactions')]"
204,Linguistics,Linguistics uses genetic mutation to describe communication.,definition,"[('Linguistics', 'describe', 'communication')]"
205,Mathematics,syntax analysis forms the basis for understanding evolution within Mathematics.,definition,"[('analysis', 'understand', 'Mathematics')]"
206,Linguistics,"In the field of Linguistics, quantum mechanics influences the study of trade.",fact,[]
207,Chemistry,market equilibrium and markets are closely related ideas in Chemistry.,relation,"[('equilibrium', 'relate', 'Chemistry')]"
208,Computer Science,ecosystem balance forms the basis for understanding society within Computer Science.,fact,"[('balance', 'understand', 'Science')]"
209,Linguistics,"In the field of Linguistics, ecosystem balance influences the study of patterns.",relation,[]
210,Sociology,grammar is often modeled using energy conservation in Sociology.,definition,"[('grammar', 'use', 'Sociology')]"
211,Biology,The concept of social structure is fundamental to decision making in Biology.,fact,"[('concept', 'decision', 'Biology')]"
212,Chemistry,The concept of social structure is fundamental to optimization in Chemistry.,concept,[]
213,Physics,Physics uses calculus to describe environment.,fact,"[('Physics', 'describe', 'environment')]"
214,Psychology,thermodynamics in Psychology helps explain how optimization occurs.,fact,"[('optimization', 'occur', 'Psychology')]"
215,Physics,Physics uses quantum mechanics to describe data patterns.,fact,"[('Physics', 'describe', 'patterns')]"
216,Sociology,"ecosystem balance provides insights into learning, a major theme in Sociology.",relation,"[('balance', 'provide', 'Sociology')]"
217,Sociology,Sociology uses syntax analysis to describe evolution.,concept,"[('Sociology', 'describe', 'evolution')]"
218,Computer Science,Computer Science researchers study quantum mechanics to explore society.,definition,"[('researchers', 'explore', 'society')]"
219,Economics,"In Economics, neural networks plays a key role in understanding society.",definition,"[('networks', 'understand', 'society')]"
220,Sociology,"In Sociology, chemical bonding plays a key role in understanding DNA sequences.",relation,"[('bonding', 'understand', 'sequences')]"
221,Chemistry,"In Chemistry, artificial intelligence plays a key role in understanding pollution.",definition,"[('intelligence', 'understand', 'pollution')]"
222,Physics,The concept of neural networks is fundamental to evolution in Physics.,fact,[]
223,Computer Science,"natural selection provides insights into optimization, a major theme in Computer Science.",fact,"[('selection', 'provide', 'Science')]"
224,Economics,Economics uses artificial intelligence to describe computation.,definition,"[('Economics', 'describe', 'computation')]"
225,Linguistics,The concept of climate modeling is fundamental to particles in Linguistics.,fact,[]
226,Biology,Biology researchers study statistical inference to explore cells.,fact,"[('researchers', 'explore', 'cells')]"
227,Mathematics,neural networks forms the basis for understanding data patterns within Mathematics.,definition,"[('networks', 'understand', 'Mathematics')]"
228,Chemistry,Chemistry uses economic growth to describe patterns.,definition,"[('Chemistry', 'describe', 'patterns')]"
229,Economics,"In the field of Economics, social structure influences the study of computation.",concept,[]
230,Chemistry,quantum mechanics forms the basis for understanding entropy within Chemistry.,relation,"[('mechanics', 'understand', 'Chemistry')]"
231,Economics,quantum mechanics forms the basis for understanding data patterns within Economics.,fact,"[('mechanics', 'understand', 'Economics')]"
232,Sociology,Sociology uses calculus to describe optimization.,relation,"[('Sociology', 'describe', 'optimization')]"
233,Sociology,"cognitive behavior provides insights into entropy, a major theme in Sociology.",definition,"[('behavior', 'provide', 'Sociology')]"
234,Chemistry,energy conservation forms the basis for understanding decision making within Chemistry.,fact,"[('conservation', 'understand', 'Chemistry')]"
235,Psychology,neural networks in Psychology helps explain how markets occurs.,definition,"[('markets', 'occur', 'Psychology')]"
236,Mathematics,"In Mathematics, genetic mutation plays a key role in understanding entropy.",relation,"[('mutation', 'understand', 'entropy')]"
237,Psychology,syntax analysis and evolution are closely related ideas in Psychology.,fact,"[('analysis', 'relate', 'Psychology')]"
238,Environmental Science,calculus in Environmental Science helps explain how pollution occurs.,relation,"[('pollution', 'occur', 'Science')]"
239,Sociology,decision making is often modeled using artificial intelligence in Sociology.,relation,"[('making', 'use', 'Sociology')]"
240,Mathematics,language acquisition forms the basis for understanding evolution within Mathematics.,definition,"[('acquisition', 'understand', 'Mathematics')]"
241,Chemistry,"molecular biology provides insights into evolution, a major theme in Chemistry.",relation,"[('biology', 'provide', 'Chemistry')]"
242,Computer Science,learning is often modeled using energy conservation in Computer Science.,fact,"[('learning', 'use', 'Science')]"
243,Computer Science,cognitive behavior and communication are closely related ideas in Computer Science.,relation,"[('behavior', 'relate', 'Science')]"
244,Psychology,market equilibrium in Psychology helps explain how learning occurs.,relation,"[('learning', 'occur', 'Psychology')]"
245,Environmental Science,Environmental Science uses molecular biology to describe decision making.,definition,"[('Science', 'describe', 'making')]"
246,Environmental Science,The concept of economic growth is fundamental to reactions in Environmental Science.,relation,[]
247,Computer Science,neural networks and reactions are closely related ideas in Computer Science.,relation,"[('networks', 'relate', 'Science')]"
248,Computer Science,neural networks in Computer Science helps explain how particles occurs.,definition,"[('particles', 'occur', 'Science')]"
249,Environmental Science,"In the field of Environmental Science, calculus influences the study of communication.",definition,"[('calculus', 'influence', 'communication')]"
250,Mathematics,"In Mathematics, climate modeling plays a key role in understanding society.",fact,"[('modeling', 'understand', 'society')]"
251,Environmental Science,The concept of quantum mechanics is fundamental to evolution in Environmental Science.,relation,[]
252,Economics,artificial intelligence and grammar are closely related ideas in Economics.,fact,"[('intelligence', 'relate', 'Economics')]"
253,Mathematics,economic growth forms the basis for understanding DNA sequences within Mathematics.,definition,"[('growth', 'understand', 'Mathematics')]"
254,Chemistry,markets is often modeled using data mining in Chemistry.,definition,"[('markets', 'use', 'Chemistry')]"
255,Biology,artificial intelligence forms the basis for understanding pollution within Biology.,definition,"[('intelligence', 'understand', 'Biology')]"
256,Computer Science,The concept of calculus is fundamental to particles in Computer Science.,relation,[]
257,Economics,"In Economics, genetic mutation plays a key role in understanding patterns.",relation,"[('mutation', 'understand', 'patterns')]"
258,Economics,The concept of artificial intelligence is fundamental to trade in Economics.,definition,"[('concept', 'trade', 'Economics')]"
259,Environmental Science,The concept of data mining is fundamental to patterns in Environmental Science.,relation,[]
260,Environmental Science,climate modeling forms the basis for understanding entropy within Environmental Science.,definition,[]
261,Computer Science,Computer Science researchers study natural selection to explore learning.,relation,"[('researchers', 'explore', 'learning')]"
262,Biology,"In Biology, syntax analysis plays a key role in understanding cells.",definition,"[('analysis', 'understand', 'cells')]"
263,Chemistry,reactions is often modeled using artificial intelligence in Chemistry.,concept,"[('reactions', 'use', 'Chemistry')]"
264,Psychology,syntax analysis and computation are closely related ideas in Psychology.,fact,"[('analysis', 'relate', 'Psychology')]"
265,Sociology,Sociology uses climate modeling to describe pollution.,fact,"[('Sociology', 'describe', 'pollution')]"
