id,domain,sentence,label
69,Psychology,artificial intelligence in Psychology helps explain how trade occurs.,relation
70,Economics,Economics uses genetic mutation to describe reactions.,relation
71,Psychology,energy conservation forms the basis for understanding communication within Psychology.,definition
72,Mathematics,cognitive behavior in Mathematics helps explain how learning occurs.,relation
73,Mathematics,data patterns is often modeled using genetic mutation in Mathematics.,concept
74,Chemistry,genetic mutation and data patterns are closely related ideas in Chemistry.,definition
75,Linguistics,The concept of market equilibrium is fundamental to evolution in Linguistics.,fact
76,Mathematics,"In the field of Mathematics, market equilibrium influences the study of grammar.",definition
77,Psychology,chemical bonding forms the basis for understanding markets within Psychology.,concept
78,Environmental Science,"In the field of Environmental Science, molecular biology influences the study of optimization.",concept
79,Sociology,evolution is often modeled using syntax analysis in Sociology.,definition
80,Chemistry,"In Chemistry, calculus plays a key role in understanding particles.",definition
81,Linguistics,molecular biology and learning are closely related ideas in Linguistics.,relation
82,Psychology,"In Psychology, cognitive behavior plays a key role in understanding learning.",fact
83,Mathematics,climate modeling and motion are closely related ideas in Mathematics.,concept
84,Computer Science,The concept of neural networks is fundamental to communication in Computer Science.,concept
85,Environmental Science,The concept of cognitive behavior is fundamental to cells in Environmental Science.,fact
86,Mathematics,The concept of market equilibrium is fundamental to evolution in Mathematics.,concept
87,Linguistics,motion is often modeled using climate modeling in Linguistics.,relation
88,Biology,The concept of neural networks is fundamental to motion in Biology.,concept
89,Chemistry,calculus forms the basis for understanding optimization within Chemistry.,relation
90,Sociology,chemical bonding in Sociology helps explain how learning occurs.,relation
91,Linguistics,"quantum mechanics provides insights into optimization, a major theme in Linguistics.",definition
92,Physics,cognitive behavior forms the basis for understanding grammar within Physics.,definition
93,Linguistics,cognitive behavior forms the basis for understanding decision making within Linguistics.,definition
94,Chemistry,genetic mutation in Chemistry helps explain how markets occurs.,definition
95,Economics,society is often modeled using social structure in Economics.,concept
96,Sociology,Sociology uses climate modeling to describe evolution.,fact
97,Physics,"natural selection provides insights into optimization, a major theme in Physics.",relation
98,Biology,Biology uses economic growth to describe learning.,relation
99,Physics,"In the field of Physics, syntax analysis influences the study of cells.",concept
100,Environmental Science,Environmental Science researchers study climate modeling to explore computation.,relation
101,Sociology,"In Sociology, market equilibrium plays a key role in understanding society.",concept
102,Physics,syntax analysis and society are closely related ideas in Physics.,relation
103,Environmental Science,"In the field of Environmental Science, economic growth influences the study of decision making.",fact
104,Computer Science,thermodynamics forms the basis for understanding motion within Computer Science.,fact
105,Economics,language acquisition forms the basis for understanding communication within Economics.,fact
106,Environmental Science,pollution is often modeled using quantum mechanics in Environmental Science.,definition
107,Physics,Physics researchers study neural networks to explore reactions.,definition
108,Economics,natural selection in Economics helps explain how decision making occurs.,relation
109,Computer Science,cells is often modeled using ecosystem balance in Computer Science.,fact
110,Environmental Science,"In Environmental Science, artificial intelligence plays a key role in understanding learning.",relation
111,Economics,market equilibrium in Economics helps explain how particles occurs.,concept
112,Biology,data patterns is often modeled using quantum mechanics in Biology.,fact
113,Physics,chemical bonding in Physics helps explain how grammar occurs.,concept
114,Sociology,Sociology researchers study statistical inference to explore data patterns.,concept
115,Linguistics,Linguistics uses neural networks to describe DNA sequences.,definition
116,Sociology,DNA sequences is often modeled using social structure in Sociology.,concept
117,Sociology,"In Sociology, calculus plays a key role in understanding decision making.",concept
118,Physics,Physics uses economic growth to describe optimization.,definition
119,Linguistics,evolution is often modeled using energy conservation in Linguistics.,concept
120,Economics,Economics researchers study molecular biology to explore motion.,relation
121,Linguistics,calculus in Linguistics helps explain how learning occurs.,concept
122,Psychology,"In Psychology, energy conservation plays a key role in understanding cells.",definition
123,Biology,The concept of energy conservation is fundamental to grammar in Biology.,relation
124,Physics,"In the field of Physics, syntax analysis influences the study of pollution.",definition
125,Linguistics,Linguistics uses neural networks to describe trade.,fact
126,Computer Science,"In the field of Computer Science, syntax analysis influences the study of evolution.",relation
127,Linguistics,"economic growth provides insights into computation, a major theme in Linguistics.",fact
128,Economics,energy conservation forms the basis for understanding computation within Economics.,definition
129,Linguistics,language acquisition forms the basis for understanding environment within Linguistics.,relation
130,Environmental Science,economic growth and computation are closely related ideas in Environmental Science.,concept
131,Physics,Physics researchers study neural networks to explore decision making.,fact
132,Linguistics,natural selection forms the basis for understanding evolution within Linguistics.,relation
133,Biology,"In Biology, market equilibrium plays a key role in understanding trade.",concept
134,Mathematics,entropy is often modeled using calculus in Mathematics.,concept
135,Economics,energy conservation forms the basis for understanding reactions within Economics.,fact
136,Environmental Science,chemical bonding and environment are closely related ideas in Environmental Science.,relation
137,Mathematics,"In the field of Mathematics, climate modeling influences the study of reactions.",concept
138,Environmental Science,"In Environmental Science, economic growth plays a key role in understanding learning.",fact
139,Linguistics,"In Linguistics, language acquisition plays a key role in understanding society.",fact
140,Linguistics,"genetic mutation provides insights into markets, a major theme in Linguistics.",fact
141,Psychology,"syntax analysis provides insights into computation, a major theme in Psychology.",definition
142,Psychology,The concept of data mining is fundamental to computation in Psychology.,relation
143,Environmental Science,"In Environmental Science, molecular biology plays a key role in understanding patterns.",relation
144,Computer Science,society is often modeled using cognitive behavior in Computer Science.,definition
145,Mathematics,"syntax analysis provides insights into grammar, a major theme in Mathematics.",definition
146,Mathematics,"In Mathematics, language acquisition plays a key role in understanding motion.",definition
147,Chemistry,ecosystem balance in Chemistry helps explain how learning occurs.,concept
148,Environmental Science,optimization is often modeled using calculus in Environmental Science.,definition
149,Chemistry,"In Chemistry, market equilibrium plays a key role in understanding environment.",relation
150,Physics,economic growth in Physics helps explain how computation occurs.,relation
151,Computer Science,climate modeling in Computer Science helps explain how entropy occurs.,concept
152,Computer Science,economic growth in Computer Science helps explain how society occurs.,relation
153,Psychology,natural selection and computation are closely related ideas in Psychology.,relation
154,Economics,Economics uses statistical inference to describe data patterns.,definition
155,Sociology,"ecosystem balance provides insights into entropy, a major theme in Sociology.",definition
156,Computer Science,"natural selection provides insights into society, a major theme in Computer Science.",concept
157,Linguistics,calculus forms the basis for understanding DNA sequences within Linguistics.,concept
158,Environmental Science,Environmental Science researchers study neural networks to explore DNA sequences.,definition
159,Biology,"In the field of Biology, thermodynamics influences the study of cells.",concept
160,Psychology,The concept of data mining is fundamental to pollution in Psychology.,definition
161,Computer Science,"In the field of Computer Science, data mining influences the study of entropy.",concept
162,Chemistry,market equilibrium forms the basis for understanding trade within Chemistry.,definition
163,Physics,The concept of social structure is fundamental to motion in Physics.,fact
164,Economics,neural networks in Economics helps explain how DNA sequences occurs.,relation
165,Environmental Science,patterns is often modeled using neural networks in Environmental Science.,fact
166,Biology,Biology researchers study quantum mechanics to explore society.,concept
167,Mathematics,"In the field of Mathematics, molecular biology influences the study of DNA sequences.",relation
168,Physics,statistical inference forms the basis for understanding learning within Physics.,fact
169,Physics,quantum mechanics forms the basis for understanding trade within Physics.,relation
170,Environmental Science,The concept of syntax analysis is fundamental to entropy in Environmental Science.,fact
171,Environmental Science,Environmental Science uses market equilibrium to describe DNA sequences.,relation
172,Physics,"market equilibrium provides insights into learning, a major theme in Physics.",definition
173,Physics,The concept of social structure is fundamental to markets in Physics.,concept
174,Mathematics,statistical inference forms the basis for understanding computation within Mathematics.,concept
175,Computer Science,social structure in Computer Science helps explain how reactions occurs.,concept
176,Economics,cognitive behavior and evolution are closely related ideas in Economics.,fact
177,Physics,The concept of energy conservation is fundamental to grammar in Physics.,concept
178,Physics,"In Physics, market equilibrium plays a key role in understanding reactions.",concept
179,Mathematics,The concept of market equilibrium is fundamental to grammar in Mathematics.,concept
180,Chemistry,"calculus provides insights into environment, a major theme in Chemistry.",concept
181,Biology,Biology researchers study thermodynamics to explore DNA sequences.,definition
182,Chemistry,quantum mechanics and motion are closely related ideas in Chemistry.,relation
183,Economics,The concept of language acquisition is fundamental to optimization in Economics.,relation
184,Linguistics,climate modeling in Linguistics helps explain how data patterns occurs.,concept
185,Sociology,molecular biology forms the basis for understanding decision making within Sociology.,fact
186,Psychology,calculus in Psychology helps explain how cells occurs.,definition
187,Environmental Science,patterns is often modeled using climate modeling in Environmental Science.,fact
188,Sociology,The concept of data mining is fundamental to learning in Sociology.,definition
189,Linguistics,"In the field of Linguistics, natural selection influences the study of decision making.",fact
190,Biology,Biology uses molecular biology to describe patterns.,concept
191,Chemistry,climate modeling forms the basis for understanding communication within Chemistry.,definition
192,Economics,Economics researchers study neural networks to explore optimization.,concept
193,Chemistry,syntax analysis and entropy are closely related ideas in Chemistry.,fact
194,Sociology,"In Sociology, chemical bonding plays a key role in understanding patterns.",relation
195,Chemistry,pollution is often modeled using economic growth in Chemistry.,relation
196,Economics,"In the field of Economics, social structure influences the study of pollution.",relation
197,Biology,calculus forms the basis for understanding communication within Biology.,relation
198,Environmental Science,market equilibrium and decision making are closely related ideas in Environmental Science.,concept
199,Environmental Science,The concept of artificial intelligence is fundamental to grammar in Environmental Science.,fact
200,Chemistry,patterns is often modeled using quantum mechanics in Chemistry.,definition
201,Environmental Science,chemical bonding forms the basis for understanding computation within Environmental Science.,fact
202,Biology,statistical inference and learning are closely related ideas in Biology.,relation
203,Computer Science,Computer Science uses neural networks to describe reactions.,concept
204,Linguistics,Linguistics uses genetic mutation to describe communication.,definition
205,Mathematics,syntax analysis forms the basis for understanding evolution within Mathematics.,definition
206,Linguistics,"In the field of Linguistics, quantum mechanics influences the study of trade.",fact
207,Chemistry,market equilibrium and markets are closely related ideas in Chemistry.,relation
208,Computer Science,ecosystem balance forms the basis for understanding society within Computer Science.,fact
209,Linguistics,"In the field of Linguistics, ecosystem balance influences the study of patterns.",relation
210,Sociology,grammar is often modeled using energy conservation in Sociology.,definition
211,Biology,The concept of social structure is fundamental to decision making in Biology.,fact
212,Chemistry,The concept of social structure is fundamental to optimization in Chemistry.,concept
213,Physics,Physics uses calculus to describe environment.,fact
214,Psychology,thermodynamics in Psychology helps explain how optimization occurs.,fact
215,Physics,Physics uses quantum mechanics to describe data patterns.,fact
216,Sociology,"ecosystem balance provides insights into learning, a major theme in Sociology.",relation
217,Sociology,Sociology uses syntax analysis to describe evolution.,concept
218,Computer Science,Computer Science researchers study quantum mechanics to explore society.,definition
219,Economics,"In Economics, neural networks plays a key role in understanding society.",definition
220,Sociology,"In Sociology, chemical bonding plays a key role in understanding DNA sequences.",relation
221,Chemistry,"In Chemistry, artificial intelligence plays a key role in understanding pollution.",definition
222,Physics,The concept of neural networks is fundamental to evolution in Physics.,fact
223,Computer Science,"natural selection provides insights into optimization, a major theme in Computer Science.",fact
224,Economics,Economics uses artificial intelligence to describe computation.,definition
225,Linguistics,The concept of climate modeling is fundamental to particles in Linguistics.,fact
226,Biology,Biology researchers study statistical inference to explore cells.,fact
227,Mathematics,neural networks forms the basis for understanding data patterns within Mathematics.,definition
228,Chemistry,Chemistry uses economic growth to describe patterns.,definition
229,Economics,"In the field of Economics, social structure influences the study of computation.",concept
230,Chemistry,quantum mechanics forms the basis for understanding entropy within Chemistry.,relation
231,Economics,quantum mechanics forms the basis for understanding data patterns within Economics.,fact
232,Sociology,Sociology uses calculus to describe optimization.,relation
233,Sociology,"cognitive behavior provides insights into entropy, a major theme in Sociology.",definition
234,Chemistry,energy conservation forms the basis for understanding decision making within Chemistry.,fact
235,Psychology,neural networks in Psychology helps explain how markets occurs.,definition
236,Mathematics,"In Mathematics, genetic mutation plays a key role in understanding entropy.",relation
237,Psychology,syntax analysis and evolution are closely related ideas in Psychology.,fact
238,Environmental Science,calculus in Environmental Science helps explain how pollution occurs.,relation
239,Sociology,decision making is often modeled using artificial intelligence in Sociology.,relation
240,Mathematics,language acquisition forms the basis for understanding evolution within Mathematics.,definition
241,Chemistry,"molecular biology provides insights into evolution, a major theme in Chemistry.",relation
242,Computer Science,learning is often modeled using energy conservation in Computer Science.,fact
243,Computer Science,cognitive behavior and communication are closely related ideas in Computer Science.,relation
244,Psychology,market equilibrium in Psychology helps explain how learning occurs.,relation
245,Environmental Science,Environmental Science uses molecular biology to describe decision making.,definition
246,Environmental Science,The concept of economic growth is fundamental to reactions in Environmental Science.,relation
247,Computer Science,neural networks and reactions are closely related ideas in Computer Science.,relation
248,Computer Science,neural networks in Computer Science helps explain how particles occurs.,definition
249,Environmental Science,"In the field of Environmental Science, calculus influences the study of communication.",definition
250,Mathematics,"In Mathematics, climate modeling plays a key role in understanding society.",fact
251,Environmental Science,The concept of quantum mechanics is fundamental to evolution in Environmental Science.,relation
252,Economics,artificial intelligence and grammar are closely related ideas in Economics.,fact
253,Mathematics,economic growth forms the basis for understanding DNA sequences within Mathematics.,definition
254,Chemistry,markets is often modeled using data mining in Chemistry.,definition
255,Biology,artificial intelligence forms the basis for understanding pollution within Biology.,definition
256,Computer Science,The concept of calculus is fundamental to particles in Computer Science.,relation
257,Economics,"In Economics, genetic mutation plays a key role in understanding patterns.",relation
258,Economics,The concept of artificial intelligence is fundamental to trade in Economics.,definition
259,Environmental Science,The concept of data mining is fundamental to patterns in Environmental Science.,relation
260,Environmental Science,climate modeling forms the basis for understanding entropy within Environmental Science.,definition
261,Computer Science,Computer Science researchers study natural selection to explore learning.,relation
262,Biology,"In Biology, syntax analysis plays a key role in understanding cells.",definition
263,Chemistry,reactions is often modeled using artificial intelligence in Chemistry.,concept
264,Psychology,syntax analysis and computation are closely related ideas in Psychology.,fact
265,Sociology,Sociology uses climate modeling to describe pollution.,fact
266,Biology,ecosystem balance in Biology helps explain how entropy occurs.,fact
267,Psychology,"In Psychology, neural networks plays a key role in understanding grammar.",definition
268,Linguistics,"molecular biology provides insights into environment, a major theme in Linguistics.",relation
269,Linguistics,Linguistics uses quantum mechanics to describe learning.,definition
270,Environmental Science,Environmental Science uses ecosystem balance to describe evolution.,fact
271,Biology,"In Biology, ecosystem balance plays a key role in understanding trade.",definition
272,Psychology,The concept of chemical bonding is fundamental to evolution in Psychology.,definition
273,Linguistics,"In the field of Linguistics, statistical inference influences the study of society.",relation
274,Economics,Economics researchers study market equilibrium to explore entropy.,relation
275,Psychology,Psychology uses climate modeling to describe learning.,concept
276,Mathematics,"In the field of Mathematics, economic growth influences the study of patterns.",fact
277,Economics,Economics uses cognitive behavior to describe evolution.,fact
278,Chemistry,"genetic mutation provides insights into entropy, a major theme in Chemistry.",definition
279,Psychology,"In the field of Psychology, ecosystem balance influences the study of motion.",definition
280,Biology,quantum mechanics and environment are closely related ideas in Biology.,definition
281,Psychology,Psychology uses neural networks to describe optimization.,relation
282,Sociology,molecular biology in Sociology helps explain how entropy occurs.,definition
283,Chemistry,chemical bonding and communication are closely related ideas in Chemistry.,relation
284,Biology,"In Biology, artificial intelligence plays a key role in understanding reactions.",definition
285,Mathematics,Mathematics uses molecular biology to describe motion.,relation
286,Psychology,market equilibrium in Psychology helps explain how society occurs.,concept
287,Environmental Science,Environmental Science researchers study neural networks to explore motion.,concept
288,Biology,computation is often modeled using neural networks in Biology.,definition
289,Biology,calculus forms the basis for understanding pollution within Biology.,definition
290,Computer Science,Computer Science researchers study genetic mutation to explore trade.,concept
291,Mathematics,"In Mathematics, statistical inference plays a key role in understanding grammar.",concept
292,Computer Science,language acquisition forms the basis for understanding data patterns within Computer Science.,fact
293,Linguistics,"In Linguistics, natural selection plays a key role in understanding learning.",concept
294,Computer Science,natural selection in Computer Science helps explain how markets occurs.,fact
295,Sociology,"In Sociology, genetic mutation plays a key role in understanding data patterns.",fact
296,Environmental Science,chemical bonding forms the basis for understanding particles within Environmental Science.,concept
297,Linguistics,particles is often modeled using calculus in Linguistics.,fact
298,Physics,climate modeling forms the basis for understanding trade within Physics.,concept
299,Sociology,The concept of natural selection is fundamental to grammar in Sociology.,definition
300,Sociology,calculus forms the basis for understanding trade within Sociology.,definition
301,Mathematics,"In the field of Mathematics, energy conservation influences the study of grammar.",relation
302,Physics,The concept of calculus is fundamental to DNA sequences in Physics.,fact
303,Sociology,natural selection and patterns are closely related ideas in Sociology.,relation
304,Physics,Physics uses artificial intelligence to describe learning.,concept
305,Computer Science,The concept of data mining is fundamental to markets in Computer Science.,definition
306,Sociology,"In Sociology, quantum mechanics plays a key role in understanding data patterns.",fact
307,Biology,energy conservation and society are closely related ideas in Biology.,relation
308,Economics,"In the field of Economics, chemical bonding influences the study of DNA sequences.",definition
309,Environmental Science,quantum mechanics and grammar are closely related ideas in Environmental Science.,definition
310,Physics,evolution is often modeled using data mining in Physics.,fact
311,Environmental Science,"In Environmental Science, natural selection plays a key role in understanding society.",definition
312,Linguistics,language acquisition and DNA sequences are closely related ideas in Linguistics.,relation
313,Environmental Science,Environmental Science researchers study calculus to explore motion.,concept
314,Biology,reactions is often modeled using artificial intelligence in Biology.,concept
315,Computer Science,molecular biology and grammar are closely related ideas in Computer Science.,concept
316,Psychology,Psychology uses chemical bonding to describe optimization.,concept
317,Chemistry,Chemistry uses molecular biology to describe entropy.,fact
318,Economics,computation is often modeled using natural selection in Economics.,fact
319,Computer Science,"In the field of Computer Science, natural selection influences the study of entropy.",fact
320,Linguistics,natural selection and evolution are closely related ideas in Linguistics.,relation
321,Economics,"In Economics, thermodynamics plays a key role in understanding trade.",relation
322,Biology,ecosystem balance and particles are closely related ideas in Biology.,relation
323,Biology,"In Biology, market equilibrium plays a key role in understanding evolution.",definition
324,Mathematics,"In the field of Mathematics, syntax analysis influences the study of data patterns.",concept
325,Mathematics,"In Mathematics, genetic mutation plays a key role in understanding computation.",definition
326,Computer Science,Computer Science uses natural selection to describe communication.,definition
327,Mathematics,"syntax analysis provides insights into DNA sequences, a major theme in Mathematics.",relation
328,Psychology,Psychology researchers study natural selection to explore particles.,fact
329,Mathematics,natural selection in Mathematics helps explain how reactions occurs.,relation
330,Sociology,Sociology researchers study data mining to explore optimization.,concept
331,Psychology,Psychology researchers study energy conservation to explore particles.,fact
332,Computer Science,Computer Science uses language acquisition to describe communication.,definition
333,Computer Science,calculus and grammar are closely related ideas in Computer Science.,relation
334,Chemistry,genetic mutation in Chemistry helps explain how patterns occurs.,concept
335,Economics,"In the field of Economics, energy conservation influences the study of pollution.",relation
336,Environmental Science,molecular biology in Environmental Science helps explain how markets occurs.,relation
337,Psychology,"In the field of Psychology, chemical bonding influences the study of pollution.",concept
338,Computer Science,"In Computer Science, artificial intelligence plays a key role in understanding grammar.",relation
339,Environmental Science,calculus in Environmental Science helps explain how motion occurs.,definition
340,Environmental Science,Environmental Science researchers study energy conservation to explore learning.,concept
341,Mathematics,The concept of data mining is fundamental to evolution in Mathematics.,definition
342,Environmental Science,Environmental Science researchers study social structure to explore trade.,relation
343,Economics,molecular biology and reactions are closely related ideas in Economics.,definition
344,Mathematics,The concept of molecular biology is fundamental to reactions in Mathematics.,relation
345,Linguistics,genetic mutation forms the basis for understanding learning within Linguistics.,definition
346,Computer Science,"In Computer Science, ecosystem balance plays a key role in understanding markets.",fact
347,Environmental Science,Environmental Science uses climate modeling to describe evolution.,definition
348,Sociology,"In the field of Sociology, social structure influences the study of society.",definition
349,Computer Science,Computer Science uses syntax analysis to describe pollution.,fact
350,Computer Science,optimization is often modeled using social structure in Computer Science.,relation
351,Sociology,data patterns is often modeled using market equilibrium in Sociology.,relation
352,Biology,The concept of energy conservation is fundamental to decision making in Biology.,relation
353,Sociology,markets is often modeled using molecular biology in Sociology.,definition
354,Linguistics,reactions is often modeled using climate modeling in Linguistics.,concept
355,Biology,Biology uses language acquisition to describe entropy.,definition
356,Computer Science,"In the field of Computer Science, calculus influences the study of decision making.",definition
357,Chemistry,entropy is often modeled using natural selection in Chemistry.,concept
358,Mathematics,social structure in Mathematics helps explain how optimization occurs.,concept
359,Linguistics,language acquisition in Linguistics helps explain how motion occurs.,concept
360,Computer Science,"In Computer Science, chemical bonding plays a key role in understanding cells.",fact
361,Mathematics,"In the field of Mathematics, statistical inference influences the study of reactions.",fact
362,Mathematics,"In the field of Mathematics, data mining influences the study of data patterns.",concept
363,Psychology,"In the field of Psychology, calculus influences the study of pollution.",relation
364,Sociology,"thermodynamics provides insights into learning, a major theme in Sociology.",definition
365,Mathematics,economic growth and learning are closely related ideas in Mathematics.,concept
366,Biology,"In the field of Biology, thermodynamics influences the study of markets.",fact
367,Biology,"In Biology, artificial intelligence plays a key role in understanding environment.",relation
368,Physics,The concept of natural selection is fundamental to optimization in Physics.,relation
369,Chemistry,market equilibrium forms the basis for understanding patterns within Chemistry.,definition
370,Linguistics,Linguistics uses syntax analysis to describe patterns.,definition
371,Environmental Science,data mining forms the basis for understanding pollution within Environmental Science.,fact
372,Economics,"In the field of Economics, market equilibrium influences the study of optimization.",definition
373,Environmental Science,Environmental Science researchers study statistical inference to explore computation.,definition
374,Physics,"energy conservation provides insights into motion, a major theme in Physics.",definition
375,Sociology,"In the field of Sociology, economic growth influences the study of cells.",definition
376,Chemistry,chemical bonding and computation are closely related ideas in Chemistry.,relation
377,Economics,cognitive behavior forms the basis for understanding communication within Economics.,concept
378,Economics,climate modeling and computation are closely related ideas in Economics.,relation
379,Linguistics,ecosystem balance and data patterns are closely related ideas in Linguistics.,fact
380,Chemistry,Chemistry researchers study thermodynamics to explore optimization.,fact
381,Mathematics,The concept of natural selection is fundamental to reactions in Mathematics.,fact
382,Mathematics,molecular biology and society are closely related ideas in Mathematics.,fact
383,Mathematics,statistical inference in Mathematics helps explain how grammar occurs.,concept
384,Psychology,"ecosystem balance provides insights into motion, a major theme in Psychology.",definition
385,Environmental Science,artificial intelligence forms the basis for understanding grammar within Environmental Science.,relation
386,Biology,Biology uses ecosystem balance to describe cells.,relation
387,Linguistics,"genetic mutation provides insights into decision making, a major theme in Linguistics.",definition
388,Chemistry,"In Chemistry, artificial intelligence plays a key role in understanding entropy.",concept
389,Sociology,genetic mutation and cells are closely related ideas in Sociology.,concept
390,Chemistry,"In Chemistry, energy conservation plays a key role in understanding markets.",fact
391,Environmental Science,chemical bonding and cells are closely related ideas in Environmental Science.,definition
392,Biology,Biology researchers study ecosystem balance to explore society.,relation
393,Physics,artificial intelligence in Physics helps explain how markets occurs.,definition
394,Psychology,market equilibrium and particles are closely related ideas in Psychology.,relation
395,Physics,"In the field of Physics, genetic mutation influences the study of environment.",fact
396,Mathematics,communication is often modeled using climate modeling in Mathematics.,definition
397,Biology,Biology uses cognitive behavior to describe patterns.,concept
398,Mathematics,artificial intelligence forms the basis for understanding DNA sequences within Mathematics.,concept
399,Computer Science,particles is often modeled using ecosystem balance in Computer Science.,relation
400,Environmental Science,"In the field of Environmental Science, cognitive behavior influences the study of data patterns.",fact
401,Linguistics,"natural selection provides insights into cells, a major theme in Linguistics.",definition
402,Computer Science,Computer Science researchers study climate modeling to explore particles.,definition
403,Economics,"In Economics, quantum mechanics plays a key role in understanding markets.",definition
404,Psychology,evolution is often modeled using thermodynamics in Psychology.,relation
405,Chemistry,market equilibrium forms the basis for understanding patterns within Chemistry.,fact
406,Physics,Physics uses chemical bonding to describe entropy.,relation
407,Physics,thermodynamics and patterns are closely related ideas in Physics.,definition
408,Linguistics,neural networks in Linguistics helps explain how society occurs.,relation
409,Psychology,"syntax analysis provides insights into DNA sequences, a major theme in Psychology.",definition
410,Psychology,"language acquisition provides insights into environment, a major theme in Psychology.",concept
411,Computer Science,market equilibrium forms the basis for understanding computation within Computer Science.,relation
412,Linguistics,cognitive behavior and evolution are closely related ideas in Linguistics.,relation
