id,domain,sentence,label,entities
53,Sociology,market equilibrium forms the basis for understanding society within Sociology.,definition,[]
54,Physics,Physics uses genetic mutation to describe entropy.,concept,"[('Physics', 'ORG')]"
55,Economics,Economics uses social structure to describe cells.,concept,[]
56,Environmental Science,"In Environmental Science, climate modeling plays a key role in understanding computation.",fact,[]
57,Mathematics,"In Mathematics, neural networks plays a key role in understanding DNA sequences.",fact,[]
58,Computer Science,The concept of artificial intelligence is fundamental to learning in Computer Science.,relation,"[('Computer Science', 'ORG')]"
59,Biology,patterns is often modeled using syntax analysis in Biology.,fact,"[('Biology', 'LOC')]"
60,Computer Science,The concept of natural selection is fundamental to cells in Computer Science.,fact,"[('Computer Science', 'ORG')]"
61,Environmental Science,"In Environmental Science, ecosystem balance plays a key role in understanding computation.",concept,[]
62,Economics,Economics uses statistical inference to describe learning.,fact,[]
63,Linguistics,Linguistics uses chemical bonding to describe evolution.,fact,[]
64,Biology,"In the field of Biology, genetic mutation influences the study of evolution.",fact,"[('Biology', 'PRODUCT')]"
65,Biology,Biology uses syntax analysis to describe entropy.,concept,[]
66,Sociology,The concept of data mining is fundamental to DNA sequences in Sociology.,relation,[]
67,Physics,language acquisition and trade are closely related ideas in Physics.,definition,"[('Physics', 'ORG')]"
68,Biology,"statistical inference provides insights into DNA sequences, a major theme in Biology.",concept,"[('Biology', 'LOC')]"
69,Psychology,artificial intelligence in Psychology helps explain how trade occurs.,relation,[]
70,Economics,Economics uses genetic mutation to describe reactions.,relation,[]
71,Psychology,energy conservation forms the basis for understanding communication within Psychology.,definition,[]
72,Mathematics,cognitive behavior in Mathematics helps explain how learning occurs.,relation,"[('Mathematics', 'NORP')]"
73,Mathematics,data patterns is often modeled using genetic mutation in Mathematics.,concept,"[('Mathematics', 'LOC')]"
74,Chemistry,genetic mutation and data patterns are closely related ideas in Chemistry.,definition,"[('Chemistry', 'ORG')]"
75,Linguistics,The concept of market equilibrium is fundamental to evolution in Linguistics.,fact,"[('Linguistics', 'GPE')]"
76,Mathematics,"In the field of Mathematics, market equilibrium influences the study of grammar.",definition,"[('Mathematics', 'NORP')]"
77,Psychology,chemical bonding forms the basis for understanding markets within Psychology.,concept,[]
78,Environmental Science,"In the field of Environmental Science, molecular biology influences the study of optimization.",concept,[]
79,Sociology,evolution is often modeled using syntax analysis in Sociology.,definition,[]
80,Chemistry,"In Chemistry, calculus plays a key role in understanding particles.",definition,[]
81,Linguistics,molecular biology and learning are closely related ideas in Linguistics.,relation,"[('Linguistics', 'GPE')]"
82,Psychology,"In Psychology, cognitive behavior plays a key role in understanding learning.",fact,[]
83,Mathematics,climate modeling and motion are closely related ideas in Mathematics.,concept,"[('Mathematics', 'LOC')]"
84,Computer Science,The concept of neural networks is fundamental to communication in Computer Science.,concept,"[('Computer Science', 'ORG')]"
85,Environmental Science,The concept of cognitive behavior is fundamental to cells in Environmental Science.,fact,"[('Environmental Science', 'ORG')]"
86,Mathematics,The concept of market equilibrium is fundamental to evolution in Mathematics.,concept,"[('Mathematics', 'LOC')]"
87,Linguistics,motion is often modeled using climate modeling in Linguistics.,relation,"[('Linguistics', 'GPE')]"
88,Biology,The concept of neural networks is fundamental to motion in Biology.,concept,"[('Biology', 'LOC')]"
89,Chemistry,calculus forms the basis for understanding optimization within Chemistry.,relation,"[('Chemistry', 'ORG')]"
90,Sociology,chemical bonding in Sociology helps explain how learning occurs.,relation,[]
91,Linguistics,"quantum mechanics provides insights into optimization, a major theme in Linguistics.",definition,"[('quantum', 'ORG'), ('Linguistics', 'GPE')]"
92,Physics,cognitive behavior forms the basis for understanding grammar within Physics.,definition,"[('Physics', 'ORG')]"
93,Linguistics,cognitive behavior forms the basis for understanding decision making within Linguistics.,definition,"[('Linguistics', 'GPE')]"
94,Chemistry,genetic mutation in Chemistry helps explain how markets occurs.,definition,"[('Chemistry', 'ORG')]"
95,Economics,society is often modeled using social structure in Economics.,concept,"[('Economics', 'GPE')]"
96,Sociology,Sociology uses climate modeling to describe evolution.,fact,[]
97,Physics,"natural selection provides insights into optimization, a major theme in Physics.",relation,"[('Physics', 'ORG')]"
98,Biology,Biology uses economic growth to describe learning.,relation,[]
99,Physics,"In the field of Physics, syntax analysis influences the study of cells.",concept,"[('Physics', 'ORG')]"
100,Environmental Science,Environmental Science researchers study climate modeling to explore computation.,relation,[]
101,Sociology,"In Sociology, market equilibrium plays a key role in understanding society.",concept,[]
102,Physics,syntax analysis and society are closely related ideas in Physics.,relation,"[('Physics', 'ORG')]"
103,Environmental Science,"In the field of Environmental Science, economic growth influences the study of decision making.",fact,"[('Environmental Science', 'ORG')]"
104,Computer Science,thermodynamics forms the basis for understanding motion within Computer Science.,fact,"[('Computer Science', 'ORG')]"
105,Economics,language acquisition forms the basis for understanding communication within Economics.,fact,"[('Economics', 'ORG')]"
106,Environmental Science,pollution is often modeled using quantum mechanics in Environmental Science.,definition,"[('Environmental Science', 'ORG')]"
107,Physics,Physics researchers study neural networks to explore reactions.,definition,[]
108,Economics,natural selection in Economics helps explain how decision making occurs.,relation,"[('Economics', 'ORG')]"
109,Computer Science,cells is often modeled using ecosystem balance in Computer Science.,fact,"[('Computer Science', 'ORG')]"
110,Environmental Science,"In Environmental Science, artificial intelligence plays a key role in understanding learning.",relation,[]
111,Economics,market equilibrium in Economics helps explain how particles occurs.,concept,"[('Economics', 'ORG')]"
112,Biology,data patterns is often modeled using quantum mechanics in Biology.,fact,"[('Biology', 'LOC')]"
113,Physics,chemical bonding in Physics helps explain how grammar occurs.,concept,"[('Physics', 'ORG')]"
114,Sociology,Sociology researchers study statistical inference to explore data patterns.,concept,[]
115,Linguistics,Linguistics uses neural networks to describe DNA sequences.,definition,[]
116,Sociology,DNA sequences is often modeled using social structure in Sociology.,concept,[]
117,Sociology,"In Sociology, calculus plays a key role in understanding decision making.",concept,[]
118,Physics,Physics uses economic growth to describe optimization.,definition,"[('Physics', 'ORG')]"
119,Linguistics,evolution is often modeled using energy conservation in Linguistics.,concept,"[('Linguistics', 'GPE')]"
120,Economics,Economics researchers study molecular biology to explore motion.,relation,[]
121,Linguistics,calculus in Linguistics helps explain how learning occurs.,concept,"[('Linguistics', 'GPE')]"
122,Psychology,"In Psychology, energy conservation plays a key role in understanding cells.",definition,[]
123,Biology,The concept of energy conservation is fundamental to grammar in Biology.,relation,"[('Biology', 'LOC')]"
124,Physics,"In the field of Physics, syntax analysis influences the study of pollution.",definition,"[('Physics', 'ORG')]"
125,Linguistics,Linguistics uses neural networks to describe trade.,fact,[]
126,Computer Science,"In the field of Computer Science, syntax analysis influences the study of evolution.",relation,"[('Computer Science', 'ORG')]"
127,Linguistics,"economic growth provides insights into computation, a major theme in Linguistics.",fact,"[('Linguistics', 'GPE')]"
128,Economics,energy conservation forms the basis for understanding computation within Economics.,definition,"[('Economics', 'PERSON')]"
129,Linguistics,language acquisition forms the basis for understanding environment within Linguistics.,relation,"[('Linguistics', 'GPE')]"
130,Environmental Science,economic growth and computation are closely related ideas in Environmental Science.,concept,[]
131,Physics,Physics researchers study neural networks to explore decision making.,fact,[]
132,Linguistics,natural selection forms the basis for understanding evolution within Linguistics.,relation,"[('Linguistics', 'GPE')]"
133,Biology,"In Biology, market equilibrium plays a key role in understanding trade.",concept,[]
134,Mathematics,entropy is often modeled using calculus in Mathematics.,concept,"[('Mathematics', 'LOC')]"
135,Economics,energy conservation forms the basis for understanding reactions within Economics.,fact,"[('Economics', 'ORG')]"
136,Environmental Science,chemical bonding and environment are closely related ideas in Environmental Science.,relation,[]
137,Mathematics,"In the field of Mathematics, climate modeling influences the study of reactions.",concept,"[('Mathematics', 'NORP')]"
138,Environmental Science,"In Environmental Science, economic growth plays a key role in understanding learning.",fact,[]
139,Linguistics,"In Linguistics, language acquisition plays a key role in understanding society.",fact,"[('Linguistics', 'GPE')]"
140,Linguistics,"genetic mutation provides insights into markets, a major theme in Linguistics.",fact,"[('Linguistics', 'GPE')]"
141,Psychology,"syntax analysis provides insights into computation, a major theme in Psychology.",definition,[]
142,Psychology,The concept of data mining is fundamental to computation in Psychology.,relation,[]
143,Environmental Science,"In Environmental Science, molecular biology plays a key role in understanding patterns.",relation,[]
144,Computer Science,society is often modeled using cognitive behavior in Computer Science.,definition,"[('Computer Science', 'ORG')]"
145,Mathematics,"syntax analysis provides insights into grammar, a major theme in Mathematics.",definition,"[('Mathematics', 'NORP')]"
146,Mathematics,"In Mathematics, language acquisition plays a key role in understanding motion.",definition,[]
147,Chemistry,ecosystem balance in Chemistry helps explain how learning occurs.,concept,"[('Chemistry', 'ORG')]"
148,Environmental Science,optimization is often modeled using calculus in Environmental Science.,definition,"[('Environmental Science', 'ORG')]"
149,Chemistry,"In Chemistry, market equilibrium plays a key role in understanding environment.",relation,[]
150,Physics,economic growth in Physics helps explain how computation occurs.,relation,"[('Physics', 'ORG')]"
151,Computer Science,climate modeling in Computer Science helps explain how entropy occurs.,concept,"[('Computer Science', 'ORG')]"
152,Computer Science,economic growth in Computer Science helps explain how society occurs.,relation,"[('Computer Science', 'ORG')]"
153,Psychology,natural selection and computation are closely related ideas in Psychology.,relation,[]
154,Economics,Economics uses statistical inference to describe data patterns.,definition,[]
155,Sociology,"ecosystem balance provides insights into entropy, a major theme in Sociology.",definition,[]
156,Computer Science,"natural selection provides insights into society, a major theme in Computer Science.",concept,"[('Computer Science', 'ORG')]"
157,Linguistics,calculus forms the basis for understanding DNA sequences within Linguistics.,concept,"[('Linguistics', 'GPE')]"
158,Environmental Science,Environmental Science researchers study neural networks to explore DNA sequences.,definition,[]
159,Biology,"In the field of Biology, thermodynamics influences the study of cells.",concept,"[('Biology', 'PRODUCT')]"
160,Psychology,The concept of data mining is fundamental to pollution in Psychology.,definition,[]
161,Computer Science,"In the field of Computer Science, data mining influences the study of entropy.",concept,"[('Computer Science', 'ORG')]"
162,Chemistry,market equilibrium forms the basis for understanding trade within Chemistry.,definition,"[('Chemistry', 'ORG')]"
163,Physics,The concept of social structure is fundamental to motion in Physics.,fact,"[('Physics', 'ORG')]"
164,Economics,neural networks in Economics helps explain how DNA sequences occurs.,relation,"[('Economics', 'ORG')]"
165,Environmental Science,patterns is often modeled using neural networks in Environmental Science.,fact,"[('Environmental Science', 'ORG')]"
166,Biology,Biology researchers study quantum mechanics to explore society.,concept,[]
167,Mathematics,"In the field of Mathematics, molecular biology influences the study of DNA sequences.",relation,"[('Mathematics', 'NORP')]"
168,Physics,statistical inference forms the basis for understanding learning within Physics.,fact,"[('Physics', 'ORG')]"
169,Physics,quantum mechanics forms the basis for understanding trade within Physics.,relation,"[('quantum', 'ORG'), ('Physics', 'ORG')]"
170,Environmental Science,The concept of syntax analysis is fundamental to entropy in Environmental Science.,fact,[]
171,Environmental Science,Environmental Science uses market equilibrium to describe DNA sequences.,relation,[]
172,Physics,"market equilibrium provides insights into learning, a major theme in Physics.",definition,"[('Physics', 'ORG')]"
173,Physics,The concept of social structure is fundamental to markets in Physics.,concept,"[('Physics', 'ORG')]"
174,Mathematics,statistical inference forms the basis for understanding computation within Mathematics.,concept,"[('Mathematics', 'NORP')]"
175,Computer Science,social structure in Computer Science helps explain how reactions occurs.,concept,"[('Computer Science', 'ORG')]"
176,Economics,cognitive behavior and evolution are closely related ideas in Economics.,fact,"[('Economics', 'GPE')]"
177,Physics,The concept of energy conservation is fundamental to grammar in Physics.,concept,"[('Physics', 'ORG')]"
178,Physics,"In Physics, market equilibrium plays a key role in understanding reactions.",concept,[]
179,Mathematics,The concept of market equilibrium is fundamental to grammar in Mathematics.,concept,"[('Mathematics', 'LOC')]"
180,Chemistry,"calculus provides insights into environment, a major theme in Chemistry.",concept,"[('Chemistry', 'ORG')]"
181,Biology,Biology researchers study thermodynamics to explore DNA sequences.,definition,[]
182,Chemistry,quantum mechanics and motion are closely related ideas in Chemistry.,relation,"[('quantum', 'ORG'), ('Chemistry', 'ORG')]"
183,Economics,The concept of language acquisition is fundamental to optimization in Economics.,relation,"[('Economics', 'GPE')]"
184,Linguistics,climate modeling in Linguistics helps explain how data patterns occurs.,concept,"[('Linguistics', 'GPE')]"
185,Sociology,molecular biology forms the basis for understanding decision making within Sociology.,fact,[]
186,Psychology,calculus in Psychology helps explain how cells occurs.,definition,[]
187,Environmental Science,patterns is often modeled using climate modeling in Environmental Science.,fact,"[('Environmental Science', 'ORG')]"
188,Sociology,The concept of data mining is fundamental to learning in Sociology.,definition,[]
189,Linguistics,"In the field of Linguistics, natural selection influences the study of decision making.",fact,"[('Linguistics', 'GPE')]"
190,Biology,Biology uses molecular biology to describe patterns.,concept,[]
191,Chemistry,climate modeling forms the basis for understanding communication within Chemistry.,definition,"[('Chemistry', 'ORG')]"
192,Economics,Economics researchers study neural networks to explore optimization.,concept,[]
193,Chemistry,syntax analysis and entropy are closely related ideas in Chemistry.,fact,"[('Chemistry', 'ORG')]"
194,Sociology,"In Sociology, chemical bonding plays a key role in understanding patterns.",relation,[]
195,Chemistry,pollution is often modeled using economic growth in Chemistry.,relation,"[('Chemistry', 'ORG')]"
196,Economics,"In the field of Economics, social structure influences the study of pollution.",relation,[]
197,Biology,calculus forms the basis for understanding communication within Biology.,relation,"[('Biology', 'PRODUCT')]"
198,Environmental Science,market equilibrium and decision making are closely related ideas in Environmental Science.,concept,[]
199,Environmental Science,The concept of artificial intelligence is fundamental to grammar in Environmental Science.,fact,[]
200,Chemistry,patterns is often modeled using quantum mechanics in Chemistry.,definition,"[('Chemistry', 'ORG')]"
201,Environmental Science,chemical bonding forms the basis for understanding computation within Environmental Science.,fact,"[('Environmental Science', 'ORG')]"
202,Biology,statistical inference and learning are closely related ideas in Biology.,relation,"[('Biology', 'LOC')]"
203,Computer Science,Computer Science uses neural networks to describe reactions.,concept,"[('Computer Science', 'ORG')]"
204,Linguistics,Linguistics uses genetic mutation to describe communication.,definition,[]
205,Mathematics,syntax analysis forms the basis for understanding evolution within Mathematics.,definition,"[('Mathematics', 'NORP')]"
206,Linguistics,"In the field of Linguistics, quantum mechanics influences the study of trade.",fact,"[('Linguistics', 'GPE')]"
207,Chemistry,market equilibrium and markets are closely related ideas in Chemistry.,relation,"[('Chemistry', 'ORG')]"
208,Computer Science,ecosystem balance forms the basis for understanding society within Computer Science.,fact,"[('Computer Science', 'ORG')]"
209,Linguistics,"In the field of Linguistics, ecosystem balance influences the study of patterns.",relation,"[('Linguistics', 'GPE')]"
210,Sociology,grammar is often modeled using energy conservation in Sociology.,definition,"[('grammar', 'ORG')]"
211,Biology,The concept of social structure is fundamental to decision making in Biology.,fact,"[('Biology', 'LOC')]"
212,Chemistry,The concept of social structure is fundamental to optimization in Chemistry.,concept,"[('Chemistry', 'GPE')]"
213,Physics,Physics uses calculus to describe environment.,fact,"[('Physics', 'ORG')]"
214,Psychology,thermodynamics in Psychology helps explain how optimization occurs.,fact,[]
215,Physics,Physics uses quantum mechanics to describe data patterns.,fact,"[('Physics', 'ORG')]"
216,Sociology,"ecosystem balance provides insights into learning, a major theme in Sociology.",relation,[]
217,Sociology,Sociology uses syntax analysis to describe evolution.,concept,[]
218,Computer Science,Computer Science researchers study quantum mechanics to explore society.,definition,[]
219,Economics,"In Economics, neural networks plays a key role in understanding society.",definition,[]
220,Sociology,"In Sociology, chemical bonding plays a key role in understanding DNA sequences.",relation,[]
221,Chemistry,"In Chemistry, artificial intelligence plays a key role in understanding pollution.",definition,[]
222,Physics,The concept of neural networks is fundamental to evolution in Physics.,fact,"[('Physics', 'ORG')]"
223,Computer Science,"natural selection provides insights into optimization, a major theme in Computer Science.",fact,"[('Computer Science', 'ORG')]"
224,Economics,Economics uses artificial intelligence to describe computation.,definition,[]
225,Linguistics,The concept of climate modeling is fundamental to particles in Linguistics.,fact,"[('Linguistics', 'GPE')]"
226,Biology,Biology researchers study statistical inference to explore cells.,fact,[]
227,Mathematics,neural networks forms the basis for understanding data patterns within Mathematics.,definition,"[('Mathematics', 'NORP')]"
228,Chemistry,Chemistry uses economic growth to describe patterns.,definition,[]
229,Economics,"In the field of Economics, social structure influences the study of computation.",concept,[]
230,Chemistry,quantum mechanics forms the basis for understanding entropy within Chemistry.,relation,"[('quantum', 'ORG'), ('Chemistry', 'ORG')]"
231,Economics,quantum mechanics forms the basis for understanding data patterns within Economics.,fact,"[('quantum', 'ORG'), ('Economics', 'ORG')]"
232,Sociology,Sociology uses calculus to describe optimization.,relation,[]
233,Sociology,"cognitive behavior provides insights into entropy, a major theme in Sociology.",definition,[]
234,Chemistry,energy conservation forms the basis for understanding decision making within Chemistry.,fact,"[('Chemistry', 'ORG')]"
235,Psychology,neural networks in Psychology helps explain how markets occurs.,definition,[]
236,Mathematics,"In Mathematics, genetic mutation plays a key role in understanding entropy.",relation,[]
237,Psychology,syntax analysis and evolution are closely related ideas in Psychology.,fact,[]
238,Environmental Science,calculus in Environmental Science helps explain how pollution occurs.,relation,"[('Environmental Science', 'ORG')]"
239,Sociology,decision making is often modeled using artificial intelligence in Sociology.,relation,[]
240,Mathematics,language acquisition forms the basis for understanding evolution within Mathematics.,definition,"[('Mathematics', 'NORP')]"
241,Chemistry,"molecular biology provides insights into evolution, a major theme in Chemistry.",relation,"[('Chemistry', 'ORG')]"
242,Computer Science,learning is often modeled using energy conservation in Computer Science.,fact,"[('Computer Science', 'FAC')]"
243,Computer Science,cognitive behavior and communication are closely related ideas in Computer Science.,relation,"[('Computer Science', 'ORG')]"
244,Psychology,market equilibrium in Psychology helps explain how learning occurs.,relation,[]
245,Environmental Science,Environmental Science uses molecular biology to describe decision making.,definition,[]
246,Environmental Science,The concept of economic growth is fundamental to reactions in Environmental Science.,relation,"[('Environmental Science', 'ORG')]"
247,Computer Science,neural networks and reactions are closely related ideas in Computer Science.,relation,"[('Computer Science', 'ORG')]"
248,Computer Science,neural networks in Computer Science helps explain how particles occurs.,definition,"[('Computer Science', 'ORG')]"
249,Environmental Science,"In the field of Environmental Science, calculus influences the study of communication.",definition,[]
250,Mathematics,"In Mathematics, climate modeling plays a key role in understanding society.",fact,[]
251,Environmental Science,The concept of quantum mechanics is fundamental to evolution in Environmental Science.,relation,"[('Environmental Science', 'GPE')]"
252,Economics,artificial intelligence and grammar are closely related ideas in Economics.,fact,"[('Economics', 'GPE')]"
253,Mathematics,economic growth forms the basis for understanding DNA sequences within Mathematics.,definition,"[('Mathematics', 'LOC')]"
254,Chemistry,markets is often modeled using data mining in Chemistry.,definition,"[('Chemistry', 'ORG')]"
255,Biology,artificial intelligence forms the basis for understanding pollution within Biology.,definition,"[('Biology', 'PRODUCT')]"
256,Computer Science,The concept of calculus is fundamental to particles in Computer Science.,relation,"[('Computer Science', 'ORG')]"
257,Economics,"In Economics, genetic mutation plays a key role in understanding patterns.",relation,[]
258,Economics,The concept of artificial intelligence is fundamental to trade in Economics.,definition,"[('Economics', 'GPE')]"
259,Environmental Science,The concept of data mining is fundamental to patterns in Environmental Science.,relation,[]
260,Environmental Science,climate modeling forms the basis for understanding entropy within Environmental Science.,definition,"[('Environmental Science', 'ORG')]"
261,Computer Science,Computer Science researchers study natural selection to explore learning.,relation,[]
262,Biology,"In Biology, syntax analysis plays a key role in understanding cells.",definition,[]
263,Chemistry,reactions is often modeled using artificial intelligence in Chemistry.,concept,"[('Chemistry', 'ORG')]"
264,Psychology,syntax analysis and computation are closely related ideas in Psychology.,fact,[]
265,Sociology,Sociology uses climate modeling to describe pollution.,fact,[]
266,Biology,ecosystem balance in Biology helps explain how entropy occurs.,fact,"[('Biology', 'PRODUCT')]"
267,Psychology,"In Psychology, neural networks plays a key role in understanding grammar.",definition,[]
268,Linguistics,"molecular biology provides insights into environment, a major theme in Linguistics.",relation,"[('Linguistics', 'GPE')]"
269,Linguistics,Linguistics uses quantum mechanics to describe learning.,definition,[]
270,Environmental Science,Environmental Science uses ecosystem balance to describe evolution.,fact,[]
271,Biology,"In Biology, ecosystem balance plays a key role in understanding trade.",definition,[]
272,Psychology,The concept of chemical bonding is fundamental to evolution in Psychology.,definition,[]
273,Linguistics,"In the field of Linguistics, statistical inference influences the study of society.",relation,"[('Linguistics', 'GPE')]"
274,Economics,Economics researchers study market equilibrium to explore entropy.,relation,[]
275,Psychology,Psychology uses climate modeling to describe learning.,concept,[]
276,Mathematics,"In the field of Mathematics, economic growth influences the study of patterns.",fact,"[('Mathematics', 'NORP')]"
277,Economics,Economics uses cognitive behavior to describe evolution.,fact,[]
278,Chemistry,"genetic mutation provides insights into entropy, a major theme in Chemistry.",definition,"[('Chemistry', 'ORG')]"
279,Psychology,"In the field of Psychology, ecosystem balance influences the study of motion.",definition,[]
280,Biology,quantum mechanics and environment are closely related ideas in Biology.,definition,"[('quantum', 'ORG'), ('Biology', 'LOC')]"
281,Psychology,Psychology uses neural networks to describe optimization.,relation,[]
282,Sociology,molecular biology in Sociology helps explain how entropy occurs.,definition,[]
283,Chemistry,chemical bonding and communication are closely related ideas in Chemistry.,relation,"[('Chemistry', 'ORG')]"
284,Biology,"In Biology, artificial intelligence plays a key role in understanding reactions.",definition,[]
285,Mathematics,Mathematics uses molecular biology to describe motion.,relation,[]
286,Psychology,market equilibrium in Psychology helps explain how society occurs.,concept,[]
287,Environmental Science,Environmental Science researchers study neural networks to explore motion.,concept,[]
288,Biology,computation is often modeled using neural networks in Biology.,definition,"[('Biology', 'LOC')]"
289,Biology,calculus forms the basis for understanding pollution within Biology.,definition,"[('Biology', 'PRODUCT')]"
290,Computer Science,Computer Science researchers study genetic mutation to explore trade.,concept,[]
291,Mathematics,"In Mathematics, statistical inference plays a key role in understanding grammar.",concept,[]
292,Computer Science,language acquisition forms the basis for understanding data patterns within Computer Science.,fact,"[('Computer Science', 'ORG')]"
293,Linguistics,"In Linguistics, natural selection plays a key role in understanding learning.",concept,"[('Linguistics', 'GPE')]"
294,Computer Science,natural selection in Computer Science helps explain how markets occurs.,fact,"[('Computer Science', 'ORG')]"
295,Sociology,"In Sociology, genetic mutation plays a key role in understanding data patterns.",fact,[]
296,Environmental Science,chemical bonding forms the basis for understanding particles within Environmental Science.,concept,"[('Environmental Science', 'ORG')]"
297,Linguistics,particles is often modeled using calculus in Linguistics.,fact,"[('Linguistics', 'GPE')]"
298,Physics,climate modeling forms the basis for understanding trade within Physics.,concept,"[('Physics', 'ORG')]"
299,Sociology,The concept of natural selection is fundamental to grammar in Sociology.,definition,[]
300,Sociology,calculus forms the basis for understanding trade within Sociology.,definition,[]
301,Mathematics,"In the field of Mathematics, energy conservation influences the study of grammar.",relation,"[('Mathematics', 'NORP')]"
302,Physics,The concept of calculus is fundamental to DNA sequences in Physics.,fact,"[('Physics', 'ORG')]"
303,Sociology,natural selection and patterns are closely related ideas in Sociology.,relation,[]
304,Physics,Physics uses artificial intelligence to describe learning.,concept,"[('Physics', 'ORG')]"
305,Computer Science,The concept of data mining is fundamental to markets in Computer Science.,definition,"[('Computer Science', 'FAC')]"
306,Sociology,"In Sociology, quantum mechanics plays a key role in understanding data patterns.",fact,[]
307,Biology,energy conservation and society are closely related ideas in Biology.,relation,"[('Biology', 'LOC')]"
308,Economics,"In the field of Economics, chemical bonding influences the study of DNA sequences.",definition,"[('Economics', 'ORG')]"
309,Environmental Science,quantum mechanics and grammar are closely related ideas in Environmental Science.,definition,"[('quantum', 'ORG')]"
